,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
18,John Henson,2012.0,14.0,81.0,82.5,89.0,112.0,30.0,142.0,25.5,137.5,216.0,8.6,9.25,10.0,5.0,11.233068181818185,3.292272727272726,63.0,13.1,6.0,2.6,5.3,48.2,0.0,0.0,0.0,0.9,1.7,53.3,1.8,2.9,4.7,0.5,0.3,0.7,0.8
19,John Jenkins,2012.0,23.0,75.25,76.25,80.5,98.0,36.5,134.5,30.5,128.5,212.0,7.1,9.0,9.0,10.0,11.36,3.37,61.0,14.8,6.1,2.1,4.8,44.6,0.9,2.3,38.4,1.0,1.1,84.3,0.3,1.3,1.5,0.9,0.2,0.2,0.7
20,Kendall Marshall,2012.0,13.0,75.25,76.25,77.5,96.0,37.0,133.0,31.0,127.0,198.0,7.8,8.5,9.0,9.546875,12.03,3.23,48.0,14.6,3.0,1.2,3.1,37.1,0.5,1.5,31.5,0.2,0.3,57.1,0.1,0.8,0.9,3.0,0.5,0.1,1.2
21,Kim English,2012.0,44.0,76.5,77.75,78.5,98.0,36.5,134.5,29.0,127.0,192.0,4.3,8.5,8.75,9.546875,10.59,3.33,41.0,9.9,2.9,1.0,2.7,37.5,0.3,1.2,28.0,0.5,0.7,72.4,0.2,0.7,0.9,0.6,0.4,0.1,0.5
22,Kyle O'Quinn,2012.0,49.0,80.5,82.0,88.75,106.5,31.5,138.0,31.5,138.0,241.0,8.0,9.5,10.0,9.546875,11.65,3.53,57.0,11.2,4.1,1.8,3.5,51.3,0.0,0.0,0.0,0.5,0.8,66.7,1.1,2.5,3.7,0.9,0.2,0.5,0.7
23,Marquis Teague,2012.0,29.0,73.0,74.0,79.25,96.5,40.5,137.0,32.5,129.0,180.0,6.3,8.25,7.75,8.0,10.65,3.19,48.0,8.2,2.1,0.9,2.4,38.1,0.1,0.5,17.4,0.2,0.3,56.3,0.1,0.9,0.9,1.3,0.2,0.1,0.7
24,Meyers Leonard,2012.0,11.0,83.75,85.25,87.0,108.0,32.5,140.5,30.0,138.0,250.0,5.7,9.25,11.0,19.0,11.34,3.41,69.0,17.5,5.5,2.2,4.0,54.5,0.0,0.1,42.9,1.0,1.3,80.9,1.2,2.5,3.7,0.5,0.2,0.6,0.7
25,Michael Kidd-Gilchrist,2012.0,2.0,77.75,79.5,84.0,104.5,35.5,140.0,32.0,136.5,233.0,7.0,9.0,10.25,6.0,11.77,3.18,78.0,26.0,9.0,3.6,7.9,45.8,0.0,0.1,22.2,1.8,2.4,74.9,1.7,4.2,5.8,1.5,0.7,0.9,1.3
26,Mike Scott,2012.0,43.0,79.25,80.75,82.75,104.0,32.5,136.5,27.0,131.0,241.0,10.6,8.5,9.0,14.0,11.59,3.44,40.0,9.4,4.6,1.8,3.7,47.6,0.0,0.0,0.0,1.1,1.4,76.8,1.0,1.8,2.8,0.3,0.1,0.1,0.5
27,Orlando Johnson,2012.0,36.0,75.75,77.25,83.25,99.0,39.5,138.5,32.0,131.0,224.0,7.0,9.0,9.5,13.0,10.98,3.25,51.0,12.1,4.0,1.4,3.5,40.0,0.7,1.8,38.3,0.5,0.6,71.9,0.4,1.8,2.2,0.9,0.2,0.2,0.6
28,Robbie Hummel,2012.0,58.0,79.25,80.5,80.5,102.0,30.0,132.0,27.5,129.5,218.0,9.4,8.5,9.5,13.0,11.56,3.41,53.0,12.4,3.4,1.3,3.3,37.9,0.6,1.7,36.0,0.3,0.3,93.8,0.7,1.8,2.5,0.4,0.3,0.0,0.2
29,Terrence Ross,2012.0,8.0,78.0,79.0,79.25,100.5,37.5,138.0,31.0,131.5,197.0,3.2,8.75,10.25,2.0,11.78,3.28,73.0,17.0,6.4,2.5,6.3,40.7,0.9,2.7,33.2,0.4,0.6,71.4,0.5,1.5,2.0,0.7,0.6,0.2,0.7
30,Thomas Robinson,2012.0,5.0,79.75,80.75,87.25,106.0,35.5,141.5,28.5,134.5,244.0,5.0,9.75,10.5,15.0,11.96,3.17,70.0,15.1,4.8,2.0,4.6,43.0,0.0,0.0,0.0,0.8,1.6,52.3,1.7,2.8,4.5,0.7,0.6,0.4,1.3
31,Tony Wroten,2012.0,25.0,76.75,78.0,81.0,101.0,35.5,136.5,30.0,131.0,203.0,5.2,8.0,9.0,9.546875,10.75,3.24,35.0,7.8,2.6,0.9,2.5,38.4,0.1,0.5,25.0,0.6,0.8,72.4,0.4,0.4,0.8,1.2,0.2,0.1,0.8
